Sample,Hap1_Size_Mb,Hap2_Size_Mb,Aligned_Mb,Alignment_Pct
Mo-TH-55,308.5,260.6,308.4,100.0
Mo-TH-16,286.6,286.8,286.6,100.0
Mo-TH-43,298.3,267.2,298.2,100.0
Mo-TH-6,266.3,267.3,266.3,100.0
Mo-TH-63,292.5,260.2,292.4,100.0
Mo-TW-13,287.1,241.9,287.1,100.0
