Sample,Hap1_Total,Hap2_Total,Hap1_Unique,Hap2_Unique,Shared,Pct_Shared,Collapsed_Mb,Size_Diff_Mb
Mo-TH-55,204906189,200275374,25014961,20384146,179891228,87.8,0,47.9
Mo-TH-16,199124674,203488253,18077887,22441466,181046787,90.9,0,-0.2
Mo-TH-43,202731559,200264814,23419499,20952754,179312060,88.4,0,31.1
Mo-TH-6,193124812,194294039,7642365,8811592,185482447,96.0,0,-1.0
Mo-TH-63,201854198,197660540,8358781,4165123,193495417,95.9,0,32.3
Mo-TW-13,201284426,196160454,13210652,8086680,188073774,93.4,0,45.2
